Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Cabramatta,On's Pharmacy,Shop 2/76-80 John St,2166,(02) 9724 1748,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Cabramatta,Cabramatta East D&N Pharmacy,139 Cabramatta Road,2166,(02) 9725 6388,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Cabramatta,Priceline Pharmacy Cabramatta,67 John Street,2166,(02) 9727 6008,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Caddens,TerryWhite Chemmart Caddens Corner,"Shop 19, Caddens Corner, 68 O'Connell Street",2747,(02) 9623 0534,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Calala,TerryWhite Chemmart Calala,Shop 4/10 Campbell Road,2340,(02) 6762 8788,Tamworth Regional Council,Urinary tract infection
Callaghan,Callaghan Campus Pharmacy,"Shop 110B Shortland Building, Union Lane, University Of Newcastle",2308,(02) 4968 8070,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Callala Bay,Callala Bay Pharmacy,Shop 2/55 Emmett Street,2540,(02) 4446 4251,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Calwell​​,Capital Chemist Calwell​​,"Calwell Shopping Centre, Shop 14, Calwell Shopping Centre, Webber Cres, Calwell",2905,(02) 6292 8200,Australian Capital Territory,"​Urinary tract infection, Oral contraceptive pill"
Camden,Camden Day and Night Pharmacy,146 Argyle Street,2570,(02) 4655 9370,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Camden,Camden Pharmacy Focus,91 Argyle Street,2570,(02) 4655 8875,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Cameron Park,Choice Pharmacy Cameron Park,"Shop T02A, 309 George Booth Drive",2285,(02) 4953 2401,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Cammeray,Cammeray Pharmacy,"Shop 9, 450-476 Miller Street",2062,(02) 9955 3761,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
Campbelltown,Ralph's Day and Night Pharmacy,242 Queen Street,2560,(02) 4625 4269,Campbelltown City Council,Urinary tract infection
Campbelltown,Chemist Warehouse Campbelltown,"Shop 12, Corner of Kellicar And Narellan Roads",2560,(02) 4625 3411,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Campbelltown,Chemist Warehouse Macarthur Square Campbelltown,"Shops C26 - C29, Level 1, 200 Gilchrist Drive",2560,(02) 4626 1655,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Campbelltown,Priceline Pharmacy Campbelltown Mall,"Shop 5-6, 271 Queen Street",2560,(02) 4627 2555,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Campbelltown,Amcal Campbelltown Pharmacy,241 Queen Street,2560,(02) 4640 8000,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Campbelltown,Seftons Pharmacy,6/66 Chamberlain Street,2560,(07) 1431 4147,Campbelltown City Council,"Urinary tract infection, Oral contraceptive pill"
Campsie,Cincotta Chemist Campsie,157-159 Beamish Street,2194,(02) 9789 9000,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Campsie,Chemist Warehouse Campsie,265 Beamish Street,2194,(02) 9787 5077,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Campsie,Campsie Pharmacy,"Shop 1, 220-222 Beamish Street",2194,(02) 9718 3205,Canterbury Bankstown Council,Urinary tract infection
Campsie,Campsie Discount Drug Store,259 Beamish Street,2194,(02) 9789 5441,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Canley Heights,Canley Heights Pharmacy,227a Canley Vale Road,2166,(02) 9724 2902,Fairfield City Council,"Urinary tract infection, Oral contraceptive pill"
Canterbury,Priceline Pharmacy Canterbury,Suite 11/2E Charles Street,2193,(02) 9718 0192,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Cardiff,Pharmacy Express Cardiff,6/300 Main Road,2285,(02) 4954 0011,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Cardiff,TerryWhite Chemmart Cardiff,"Shop 2, 50 Harrison Street",2285,(02) 4954 5355,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Caringbah,Ramsay Pharmacy Caringbah,Shop 16/18 347 Kingsway,2229,(02) 9524 9165,Sutherland Shire,"Urinary tract infection, Oral contraceptive pill"
Caringbah,Pharmacy 4 Less Caringbah,368 Port Hacking Road,2229,(02) 9525 1258,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Caringbah,Shire Pharmacy,10-11/416 Kingsway,2229,(02) 9066 8792,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Caringbah,TerryWhite Chemmart Caringbah,483 Port Hacking Road,2229,(02) 9524 6237,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Caringbah,Cincotta Discount Chemist Caringbah,"Shop 1, 331 Kingsway",2229,(02) 9525 0309,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Caringbah,Caringbah Discount Drug Store,368 Port Hacking Road,2229,(02) 9524 6795,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Caringbah,Chemist Warehouse Caringbah,Tenancy 3-4/29-35 President Avenue,2229,(02) 9524 7121,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Carlingford,Priceline Pharmacy Carlingford Court,Shop 134,2118,(02) 9871 7533,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Carlingford,Carmen Drive Community Pharmacy,4 Carmen Drive,2118,(02) 9871 3848,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Carlingford,Kingsdene Pharmacy,144B Felton Road,2118,(02) 9683 3079,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Casino,McDonalds Pharmacy - Casino,83 Walker Street,2470,(02) 6662 1036,Richmond Valley Council,"Urinary tract infection, Oral contraceptive pill"
Casino,Scrivener and Webb (Soul Pattinson Pharmacy),89 Walker Street,2470,(02) 6662 1202,Richmond Valley Council,"Urinary tract infection, Oral contraceptive pill"
Castle Hill,Carefirst Pharmacy,291A Old Northern Road,2154,(02) 9680 4763,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Castle Hill,Chemist Warehouse Castle Hill Hills Super Centre,"Shop 9, 16-18 Victoria Avenue",2154,(02) 9899 9177,The Hills Shire Council,Urinary tract infection
Castle Hill,Chemist Warehouse Castle Hill,336/338 Old Northern Road,2153,(02) 8850 0698,The Hills Shire Council,Urinary tract infection
Castle Hill,Barwell Medical Centre Pharmacy,18/7-9 Barwell Avenue,2154,(02) 8677 4524,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Castle Hill,TerryWhite Chemmart Knightsbridge,"Shop 4, 159 Ridgecrop Drive",2154,(02) 9680 3252,The Hills Shire Council,"Urinary tract infection, Oral contraceptive pill"
Casula,Priceline Pharmacy Casula,"Shop 38,Casula Mall, Kurrajong Road",2170,(02) 9821 1323,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Caves Beach,Caves Beach Pharmacy,"Shop 4, 64 Caves Beach Road",2281,(02) 4972 0795,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Cecil Hills,Pennas Pharmacy Cecil Hills,"Shop 10, Corner Feodore Drive and Lancaster Avenue",2171,(02) 9823 6999,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Cessnock,Cessnock Day Night Pharmacy,202 Wollombi Road,2325,(02) 4990 3485,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Cessnock,Alliance Cessnock Chemist,Suite 2/275 Vincent Street,2325,(02) 4009 4054,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Cessnock,Priceline Pharmacy Cessnock,"Shop 8, Corner North Avenue & Darwin Street",2325,(02) 4991 8000,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Cessnock,Cessnock Plaza Pharmacy,"Shop 5 Cessnock Plaza, 1 Keene Street",2325,(02) 4990 6636,Cessnock City Council,"Urinary tract infection, Oral contraceptive pill"
Charlestown,Healthsave Chemist Charlestown,"Shop 1028, Level 1",2280,(02) 4942 5669,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Charlestown,Priceline Pharmacy Charlestown Square,"Shop 1075, Pearson Street",2290,(02) 4943 2578,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Charlestown,Chemist Warehouse Charlestown,196 Pacific Highway,2290,(02) 4943 5409,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Charlestown,TerryWhite Chemmart Charlestown,Shop G8019/30 Pearson Street,2290,(02) 4943 6466,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Charnwood,Capital Chemist Charnwood,"Shops 7 & 8, Charnwood Shopping Centre Lhotsky Street",2615,(02) 6258 4949,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Chatswood,Chemist Warehouse Chatswood,1/387 Victoria Avenue,2067,(02) 9412 2400,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,Priceline Pharmacy Chatswood - Lower,"Shop 252, 2 Spring Street",2067,(02) 9413 9481,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,Chatswood Priceline Pharmacy - Upper,"Shop 438-441 Westfield Chatswood, 1 Andeson Street",2067,(02) 9412 3304,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,Priceline Pharmacy Chatswood Chase,"Shop LG4, 91 Archer Street",2067,(02) 9410 3800,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,TerryWhite Chemmart Chatswood Chase,"Shop B-046, 345 Victoria Avenue",2067,(02) 9419 2800,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,Amcal Custom Made Medicine,"Shop 5, 260 Victoria Avenue",2067,(02) 9417 2573,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,TerryWhite Chatswood Compounding,428 Victoria Avenue,2067,(02) 9419 4626,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chatswood,Chemist Warehouse Chatswood Central,451 Victoria Avenue,2067,(02) 9411 3363,Willoughby City Council,"Urinary tract infection, Oral contraceptive pill"
Chester Hill,Chemist Discount Centre Chester Hill,116 Waldron Road,2162,(02) 9644 4884,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Chester Hill,Pharmacy 4 Less Chester Hill,154 Waldron Road,2162,(02) 9644 8727,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Chippendale,Priceline Pharmacy Central Park,"Shop RB03, 1 Central Park",2008,(02) 8244 1128,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Chittaway Bay,TerryWhite Chemmart Chittaway,"Shop 4, 100 Chittaway Road",2261,(02) 4388 4722,Central Coast Council,"Urinary tract infection, Oral contraceptive pill"
Clarence Town,Clarence Town Pharmacy,2/116 Prince Street,2321,(02) 4996 3300,Dungog Shire Council,"Urinary tract infection, Oral contraceptive pill"
Clemton Park,Priceline Pharmacy Clemton Park,T13/60 Charlotte Street,2206,(02) 8580 2545,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Cobar,John Mitchell Pharmacy,22 Marshall Street,2835,(02) 6836 2040,Cobar Shire Council,"Urinary tract infection, Oral contraceptive pill"
Coffs Harbour,TerryWhite Chemmart Coffs Harbour,Shop 51 Park Beach Road,2450,(02) 6652 4188,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Coffs Harbour,Ramsay Pharmacy Coffs Central,Shop 3 Harbour Drive,2450,(02) 6652 3950,Coffs Harbour City Council,"Urinary tract infection, Oral contraceptive pill"
Coffs Harbour,Jetty Village Pharmacy,24/361 Harbour Drive,2450,(02) 6652 3087,Coffs Harbour City Council,"Urinary tract infection, Oral contraceptive pill"
Concord,Friendly Pharmacy Concord,63 Majors Bay Road,2137,(02) 9743 2060,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Concord West,Concord West Pharmacy,25 Victoria Avenue,2138,(02) 9743 1116,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Condell Park,Condell Park Pharmacy,48A Simmat Avenue,2200,(02) 9790 3136,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Condobolin,Shortis & Timmins Pharmacy,75-81 Bathurst Street,2877,(02) 6895 2477,Lachlan Shire Council,"Urinary tract infection, Oral contraceptive pill"
Coogee,Blooms the Chemist Coogee,202-204 Coogee Bay Road,2034,(02) 9665 5158,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
Coogee,Priceline Pharmacy Coogee,"Shop 1-3, 223-225 Coogee Bay Road",2034,(02) 9665 5841,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
Cooks Hill,Darby Street Pharmacy,145 Darby Street,2300,(02) 4929 2509,Newcastle City Council,"Urinary tract infection, Oral contraceptive pill"
Coolah,Coolah Pharmacy,55 Binnia Street,2843,(02) 6377 1199,Warrumbungle Shire Council,"Urinary tract infection, Oral contraceptive pill"
Coolamon,Coolamon Pharmacy,103 Cowabbie Street,2701,(02) 6927 3204,Coolamon Shire Council,"Urinary tract infection, Oral contraceptive pill"
Cooma,Hooks Pharmacy,140-148 Sharp Street,2630,(02) 6452 1744,Snowy Monaro Regional Council,"Urinary tract infection, Oral contraceptive pill"
Cooma,Monaro Chemist,82 Vale Street,2630,(02) 6452 1599,Snowy Monaro Regional Council,"Urinary tract infection, Oral contraceptive pill"
Coonabarabran,Coonabarabran Compounding Pharmacy,77 John Street,2357,(02) 6842 1118,Warrumbungle Shire Council,"Urinary tract infection, Oral contraceptive pill"
Coonabarabran,Coonabarabran Chemist,41 John Street,2357,(02) 6842 1815,Warrumbungle Shire Council,"Urinary tract infection, Oral contraceptive pill"
Cooranbong,Cooranbong Pharmacy,Shop 2/563 Freemans Drive,2265,(02) 4977 1757,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Cootamundra,Braybrooks Pharmacy,200 Parker Street,2590,(02) 6942 1060,Cootamundra-Gundagai Regional Council,"Urinary tract infection, Oral contraceptive pill"
Cootamundra,The Bush Chemist Cootamundra,264 Parker Street,2590,(02) 6942 1770,Cootamundra-Gundagai Regional Council,"Urinary tract infection, Oral contraceptive pill"
Cootamundra,Phil Davies Pharmacy,218 Parker Street,2590,(02) 6942 2850,Cootamundra-Gundagai Regional Council,"Urinary tract infection, Oral contraceptive pill"
Copacabana,Lucas Chemist @ Copa,"Shop 1, 208 Del Monte Place",2251,(02) 4308 6600,Central Coast Council,Urinary tract infection
Coraki,Coraki Pharmacy,55 Queen Elizabeth Drive,2471,(02) 6683 2037,Richmond Valley Council,"Urinary tract infection, Oral contraceptive pill"
Corowa,TerryWhite Chemmart Corowa,140 Sanger Street,2646,(02) 6033 1066,Federation Council,"Urinary tract infection, Oral contraceptive pill"
Corowa,Miegels Pharmacy Corowa,54 Sanger Street,2646,(02) 6033 1011,Federation Council,"Urinary tract infection, Oral contraceptive pill"
Corrimal,Corrimal Court Pharmacy,"Shop 21, 270 Princes Highway",2518,(02) 4283 1198,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Corrimal,Priceline Pharmacy Corrimal,203-215 Princes Highway,2518,(02) 4283 5622,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Corrimal,Andrews Pharmacy,437 Princes Highway,2518,(02) 4284 4445,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Cowra,Optimal Pharmacy Plus Health Hub Cowra,6-8 Railway Lane,2794,(02) 6342 2285,Cowra Shire Council,"Urinary tract infection, Oral contraceptive pill"
Cowra,Optimal Pharmacy Plus Cowra,75-77 Kendal Street,2794,(02) 6342 3452,Cowra Shire Council,"Urinary tract infection, Oral contraceptive pill"
Cranebrook,TerryWhite Chemmart Cranebrook,Shop 12 80-98 Borrowdale Way,2748,(02) 4729 0389,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Cremorne,Cremorne Town Centre Pharmacy,4/287-305 Military Road,2090,(02) 9908 1155,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
Cringila,Cringila Village Pharmacy,19 Lake Avenue,2502,(02) 4274 1977,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Cronulla,Blooms the Chemist Cronulla South,2/26 Ewos Parade,2230,(02) 9527 1777,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Cronulla,Priceline Pharmacy Cronulla,46 Cronulla Street,2230,(02) 9523 1678,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Cronulla,Blooms the Chemist Cronulla,37 Cronulla Street,2230,(02) 9523 6877,Sutherland Shire Council,"Urinary tract infection, Oral contraceptive pill"
Crookwell,Crookwell Soul Pattinson Chemist,61 Goulburn Street,2583,(02) 4832 1177,Upper Lachlan Shire Council,"Urinary tract infection, Oral contraceptive pill"
Crows Nest,Blooms the Chemist Crows Nest,99 Willoughby Road,2065,(02) 9439 1504,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
Crows Nest,Chemist Warehouse Crows Nest,46 Willoughby Road,2065,(02) 9439 9980,North Sydney Council,"Urinary tract infection, Oral contraceptive pill"
Crows Nest,TerryWhite Chemmart Crows Nest,108 Willoughby Road,2065,(02) 9439 7333,North Sydney Council,Urinary tract infection
Croydon Park,Discount Drug Stores Croydon Park,121 Georges River Road,2133,(02) 9798 5159,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Croydon Park,Coronation Day and Night Pharmacy,136 Coronation Parade,2133,(02) 9747 3105,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Croydon Park,Croydon Village Pharmacy,18 The Strand,2132,(02) 9745 2048,Burwood Council,"Urinary tract infection, Oral contraceptive pill"
Dapto,Priceline Pharmacy Dapto,33-35 Prince Highway,2530,(02) 4261 7043,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Dapto,Capital Chemist Dapto,21 Bong Bong Road,2538,(02) 4261 1377,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
